UTC,Open,High,Low,Close,Volume
08.10.2025 18:00:00.000 UTC,1.1607,1.1622,1.15996,1.16198,5719.95
08.10.2025 19:00:00.000 UTC,1.16201,1.16283,1.16201,1.16278,2077.33
08.10.2025 20:00:00.000 UTC,1.1628,1.16323,1.16263,1.16274,2167.01
08.10.2025 21:00:00.000 UTC,1.16275,1.16287,1.1623,1.1628,4141.24
08.10.2025 22:00:00.000 UTC,1.16282,1.16348,1.16275,1.16333,1597.27
08.10.2025 23:00:00.000 UTC,1.16333,1.16334,1.1628,1.1629,1487.71
09.10.2025 00:00:00.000 UTC,1.16289,1.16409,1.1628,1.16368,2154.34
09.10.2025 01:00:00.000 UTC,1.16366,1.16455,1.16363,1.164,3089.33
09.10.2025 02:00:00.000 UTC,1.16399,1.16476,1.16387,1.16439,2017.73
09.10.2025 03:00:00.000 UTC,1.16437,1.16464,1.16403,1.16447,1212.52
09.10.2025 04:00:00.000 UTC,1.16445,1.1647,1.16418,1.16454,923.89
09.10.2025 05:00:00.000 UTC,1.16455,1.1648,1.16382,1.16384,1991.8
09.10.2025 06:00:00.000 UTC,1.16383,1.16385,1.16113,1.16146,6862.08
09.10.2025 07:00:00.000 UTC,1.16156,1.16231,1.16064,1.16111,9198.97
09.10.2025 08:00:00.000 UTC,1.16108,1.16143,1.1603,1.16123,6120.78
09.10.2025 09:00:00.000 UTC,1.16124,1.16271,1.16107,1.16256,6554.24
09.10.2025 10:00:00.000 UTC,1.16258,1.16271,1.16129,1.16184,3044.86
09.10.2025 11:00:00.000 UTC,1.16184,1.1622,1.16093,1.16121,5130.9
09.10.2025 12:00:00.000 UTC,1.16119,1.16162,1.16048,1.1615,7841.29
09.10.2025 13:00:00.000 UTC,1.16151,1.16231,1.15914,1.16025,13407.09
09.10.2025 14:00:00.000 UTC,1.16025,1.16027,1.15763,1.15808,11301.17
09.10.2025 15:00:00.000 UTC,1.15808,1.15817,1.1547,1.15587,9607.17
09.10.2025 16:00:00.000 UTC,1.15587,1.15632,1.15524,1.15578,4995.59
09.10.2025 17:00:00.000 UTC,1.15577,1.15662,1.1554,1.15598,3867.97
09.10.2025 18:00:00.000 UTC,1.15596,1.15602,1.1542,1.15463,2936.8
09.10.2025 19:00:00.000 UTC,1.15463,1.15615,1.15463,1.15594,2361.02
09.10.2025 20:00:00.000 UTC,1.15593,1.15667,1.15585,1.15635,2341.16
09.10.2025 21:00:00.000 UTC,1.15634,1.15648,1.15551,1.15628,976.61
09.10.2025 22:00:00.000 UTC,1.15633,1.15666,1.15617,1.15646,823.05
09.10.2025 23:00:00.000 UTC,1.15645,1.15663,1.15567,1.15652,1220.76
10.10.2025 00:00:00.000 UTC,1.1565,1.15706,1.15606,1.15673,1814.27
10.10.2025 01:00:00.000 UTC,1.15674,1.15714,1.15623,1.15626,1946.61
10.10.2025 02:00:00.000 UTC,1.15628,1.15729,1.15625,1.15695,2012.16
10.10.2025 03:00:00.000 UTC,1.15693,1.1574,1.15673,1.15729,1370.4
10.10.2025 04:00:00.000 UTC,1.15727,1.15735,1.15674,1.15734,1079.8
10.10.2025 05:00:00.000 UTC,1.15732,1.15778,1.15693,1.15697,1665.54
10.10.2025 06:00:00.000 UTC,1.15697,1.15746,1.15609,1.15701,5774.63
10.10.2025 07:00:00.000 UTC,1.15701,1.15798,1.15638,1.1578,6833.55
10.10.2025 08:00:00.000 UTC,1.15778,1.15895,1.15751,1.15787,4315.78
10.10.2025 09:00:00.000 UTC,1.15786,1.15799,1.15686,1.15743,2925.3
10.10.2025 10:00:00.000 UTC,1.15744,1.15833,1.15704,1.15714,3077.48
10.10.2025 11:00:00.000 UTC,1.15715,1.15747,1.15601,1.1561,3921.9
10.10.2025 12:00:00.000 UTC,1.15609,1.1576,1.1559,1.15719,5646.98
10.10.2025 13:00:00.000 UTC,1.15718,1.15734,1.15618,1.15683,5107.59
10.10.2025 14:00:00.000 UTC,1.15684,1.15822,1.15646,1.15782,10392.93
10.10.2025 15:00:00.000 UTC,1.15784,1.16305,1.15777,1.16124,26456.37
10.10.2025 16:00:00.000 UTC,1.16124,1.16254,1.1604,1.16059,6686.56
10.10.2025 17:00:00.000 UTC,1.16056,1.1609,1.15969,1.16009,4184.93
10.10.2025 18:00:00.000 UTC,1.16012,1.16129,1.15997,1.16085,2662.57
10.10.2025 19:00:00.000 UTC,1.16084,1.1615,1.16036,1.16126,2773.16
10.10.2025 20:00:00.000 UTC,1.16129,1.16285,1.16037,1.16149,4785.5
12.10.2025 21:00:00.000 UTC,1.16138,1.1615,1.16078,1.16117,955.45
12.10.2025 22:00:00.000 UTC,1.16116,1.16135,1.15918,1.1603,4015.49
12.10.2025 23:00:00.000 UTC,1.16032,1.16101,1.16001,1.16015,2617.8
13.10.2025 00:00:00.000 UTC,1.16012,1.16158,1.16,1.16157,3460.66
13.10.2025 01:00:00.000 UTC,1.16159,1.16209,1.16098,1.16197,3188.85
13.10.2025 02:00:00.000 UTC,1.16198,1.16275,1.16167,1.16194,1917.51
13.10.2025 03:00:00.000 UTC,1.16195,1.16216,1.16161,1.16205,1334.57
13.10.2025 04:00:00.000 UTC,1.16204,1.1625,1.16178,1.16201,1349.5
13.10.2025 05:00:00.000 UTC,1.16202,1.16238,1.16128,1.16145,1809.04
13.10.2025 06:00:00.000 UTC,1.16146,1.16297,1.16106,1.16139,4709.9
13.10.2025 07:00:00.000 UTC,1.1614,1.16158,1.15973,1.15997,6775.37
13.10.2025 08:00:00.000 UTC,1.15997,1.16047,1.15815,1.15853,6326.95
13.10.2025 09:00:00.000 UTC,1.15853,1.1598,1.15842,1.15942,2983.96
13.10.2025 10:00:00.000 UTC,1.15941,1.15956,1.15814,1.15833,2744.56
13.10.2025 11:00:00.000 UTC,1.15834,1.15941,1.15653,1.15681,5962.12
13.10.2025 12:00:00.000 UTC,1.15686,1.15765,1.15616,1.15685,5488.48
13.10.2025 13:00:00.000 UTC,1.15685,1.15775,1.15644,1.15749,5853.97
13.10.2025 14:00:00.000 UTC,1.15748,1.15748,1.15574,1.15612,5414.14
13.10.2025 15:00:00.000 UTC,1.15612,1.15752,1.156,1.15737,3898.04
13.10.2025 16:00:00.000 UTC,1.15738,1.15792,1.15695,1.15754,4445.04
13.10.2025 17:00:00.000 UTC,1.15753,1.1577,1.15696,1.15731,1676.82
13.10.2025 18:00:00.000 UTC,1.15733,1.15776,1.15659,1.15683,2090.9
13.10.2025 19:00:00.000 UTC,1.15684,1.15737,1.15658,1.1566,1473.77
13.10.2025 20:00:00.000 UTC,1.15661,1.15707,1.1565,1.15691,1448.22
13.10.2025 21:00:00.000 UTC,1.1569,1.15727,1.15674,1.15713,1342.25
13.10.2025 22:00:00.000 UTC,1.15715,1.15738,1.15675,1.15677,1635.66
13.10.2025 23:00:00.000 UTC,1.15679,1.15697,1.15635,1.15658,1215.75
14.10.2025 00:00:00.000 UTC,1.15657,1.15672,1.15549,1.15611,4938.89
14.10.2025 01:00:00.000 UTC,1.15612,1.15732,1.15605,1.15707,2950.92
14.10.2025 02:00:00.000 UTC,1.15707,1.15761,1.15704,1.15737,1918.77
14.10.2025 03:00:00.000 UTC,1.15737,1.15818,1.15711,1.15787,2278.39
14.10.2025 04:00:00.000 UTC,1.15787,1.15925,1.15783,1.15917,4050.19
14.10.2025 05:00:00.000 UTC,1.15917,1.15935,1.15823,1.15844,4651.8
14.10.2025 06:00:00.000 UTC,1.15843,1.15894,1.15629,1.157,6851.81
14.10.2025 07:00:00.000 UTC,1.15699,1.15744,1.15423,1.15495,9299.84
14.10.2025 08:00:00.000 UTC,1.15494,1.15606,1.15455,1.15587,8546.05
14.10.2025 09:00:00.000 UTC,1.15587,1.15631,1.15515,1.15549,4192.87
14.10.2025 10:00:00.000 UTC,1.15546,1.15594,1.15511,1.15533,3776.05
14.10.2025 11:00:00.000 UTC,1.15533,1.15582,1.15463,1.15518,4096.33
14.10.2025 12:00:00.000 UTC,1.1552,1.1565,1.15479,1.15555,6001.33
14.10.2025 13:00:00.000 UTC,1.15554,1.15829,1.15542,1.15739,9072.38
14.10.2025 14:00:00.000 UTC,1.1574,1.15972,1.15689,1.15941,7584.47
14.10.2025 15:00:00.000 UTC,1.15942,1.16081,1.15865,1.16071,6869.04
14.10.2025 16:00:00.000 UTC,1.16073,1.16148,1.16011,1.16094,6448.8
14.10.2025 17:00:00.000 UTC,1.16091,1.1612,1.16017,1.16093,3328.89
14.10.2025 18:00:00.000 UTC,1.16093,1.16117,1.16034,1.16049,2863.06
14.10.2025 19:00:00.000 UTC,1.16049,1.16113,1.16042,1.16053,3533.44
14.10.2025 20:00:00.000 UTC,1.16055,1.16078,1.15997,1.16059,1641.25
14.10.2025 21:00:00.000 UTC,1.1606,1.16083,1.16049,1.16073,726.09
14.10.2025 22:00:00.000 UTC,1.16072,1.16097,1.16034,1.16034,884.73
14.10.2025 23:00:00.000 UTC,1.16035,1.16055,1.16018,1.16032,1083.48
15.10.2025 00:00:00.000 UTC,1.1603,1.16138,1.16017,1.16104,4189.96
15.10.2025 01:00:00.000 UTC,1.16106,1.16228,1.16068,1.1619,5200.41
15.10.2025 02:00:00.000 UTC,1.16192,1.16258,1.16179,1.16229,2567.41
15.10.2025 03:00:00.000 UTC,1.16229,1.1624,1.16184,1.16221,1712.76
15.10.2025 04:00:00.000 UTC,1.16223,1.16242,1.16168,1.16183,1185.82
15.10.2025 05:00:00.000 UTC,1.16185,1.16267,1.16183,1.16195,2090.2
15.10.2025 06:00:00.000 UTC,1.16195,1.16384,1.16175,1.16339,6345.67
15.10.2025 07:00:00.000 UTC,1.16341,1.16445,1.16292,1.16356,6145.43
15.10.2025 08:00:00.000 UTC,1.16355,1.16453,1.16314,1.16326,4359.78
15.10.2025 09:00:00.000 UTC,1.16325,1.1639,1.16279,1.16346,4002.32
15.10.2025 10:00:00.000 UTC,1.16346,1.1635,1.16204,1.16242,4011.88
15.10.2025 11:00:00.000 UTC,1.16243,1.16321,1.16195,1.16199,3868.87
15.10.2025 12:00:00.000 UTC,1.16201,1.16274,1.16137,1.16175,5552.37
15.10.2025 13:00:00.000 UTC,1.16176,1.1632,1.16103,1.16272,8926.72
15.10.2025 14:00:00.000 UTC,1.16273,1.16298,1.16195,1.16245,5599.95
15.10.2025 15:00:00.000 UTC,1.16246,1.16472,1.16183,1.16369,5861.26
15.10.2025 16:00:00.000 UTC,1.16371,1.16407,1.16284,1.16398,4456.4
15.10.2025 17:00:00.000 UTC,1.16397,1.16402,1.16269,1.16291,5146.71
15.10.2025 18:00:00.000 UTC,1.16292,1.16372,1.16277,1.16332,2811.48
15.10.2025 19:00:00.000 UTC,1.16331,1.16448,1.16329,1.16441,2332.61
15.10.2025 20:00:00.000 UTC,1.16442,1.16476,1.16426,1.16466,1775.71
15.10.2025 21:00:00.000 UTC,1.16461,1.16461,1.16418,1.16434,841.48
15.10.2025 22:00:00.000 UTC,1.16436,1.16519,1.16435,1.1646,1704.39
15.10.2025 23:00:00.000 UTC,1.16463,1.16468,1.16445,1.16456,1224.82
16.10.2025 00:00:00.000 UTC,1.16455,1.16667,1.16425,1.16632,6647.67
16.10.2025 01:00:00.000 UTC,1.16632,1.16754,1.1661,1.16696,4444.55
